Year,Artist,Artist (original),Name,Spotify,RAND
1993,2 BROTHERS ON THE 4th FLOOR,2 BROTHERS ON THE 4TH FLOOR,Never Alone,http://open.spotify.com/track/4cqiLvFRDuV8ClE61eMmZx,0.324493892
1983,MICHAEL JACKSON,MICHAEL JACKSON,Billie Jean,http://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5,0.127856228
1973,BILLY JOEL,BILLY JOEL,Piano Man,http://open.spotify.com/track/70C4NyhjD5OZUMzvWZ3njJ,0.5947087
2014,ENRIQUE IGLESIAS & SEAN PAUL,ENRIQUE IGLESIAS,Bailando,http://open.spotify.com/track/3VMSMjB4Yx79FDDrmYCk3N,0.13927327
1997,ROBBIE WILLIAMS,ROBBIE WILLIAMS,Let Me Entertain You,http://open.spotify.com/track/76SFcrLi5d60pHrzfvSjsJ,0.314759977
1981,JOURNEY,JOURNEY,Don't Stop Believin',https://open.spotify.com/track/77NNZQSqzLNqh2A9JhLRkg?si=e513c5a53c2c405d,0.911137027
2010,STROMAE,STROMAE,Alors On Danse,http://open.spotify.com/track/2GYHyAoLWpkxLVa4oYTVko,0.454430764
2020,MASTER KG,MASTER KG,Jerusalema ,http://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi,0.07399724
2009,DAVID GUETTA and AKON,DAVID GUETTA,Sexy Bitch,http://open.spotify.com/track/28O4PwkH8bzARStxeL4pxL,0.824757212
2001,LINKIN PARK,LINKIN PARK,In The End,http://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,0.907028922
2013,STROMAE,STROMAE,Formidable,http://open.spotify.com/track/382n05RtneO3ykQlFQrAd1,0.140874542
1983,EURYTHMICS,EURYTHMICS,Sweet Dreams (Are Made Of This),https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,0.942723064
2001,KYLIE MINOGUE,KYLIE MINOGUE,Can't Get You out of My Head,https://open.spotify.com/track/3E7ZwUMJFqpsDOJzEkBrQ7?si=a23ce65cd9c9424d,0.863803287
2022,DEAN LEWIS,DEAN LEWIS,How Do I Say Goodbye,http://open.spotify.com/track/5hnGrTBaEsdukpDF6aZg8a,0.40479015
2022,BERRE,BERRE,Better Off Alone,http://open.spotify.com/track/2jwsv7yOKwI4nd0UmrAnVq,0.816056618
2023,NATHAN DAWE & JOEL CORRY & ELLA HENDERSON,NATHAN DAWE,0800 Heaven,https://open.spotify.com/track/2Vewxhl9sD0IhO9Az4qLS5,0.478862978
1995,SKUNK ANANSIE,SKUNK ANANSIE,Weak,http://open.spotify.com/track/08peUkRXVqOPjTalCjhr1g,0.308930762
2000,ENRIQUE IGLESIAS,ENRIQUE IGLESIAS,Rhythm Divine,http://open.spotify.com/track/067sYyLu6IdRP5bCubdSfl,0.342406018
1984,CYNDI LAUPER,CYNDI LAUPER,Time After Time,http://open.spotify.com/track/7o9uu2GDtVDr9nsR7ZRN73,0.870104118
2019,GEORGE EZRA,GEORGE EZRA,Pretty Shining People,https://open.spotify.com/track/2JVwsN6viHjR9t5pCPQ4Br,0.352018886
2016,SIA,SIA,Cheap Thrills,http://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,0.244918799
2001,THE CALLING,THE CALLING,Wherever You Will Go,http://open.spotify.com/track/5QpaGzWp0hwB5faV8dkbAz,0.543626071
2024,DUA LIPA,DUA LIPA,Training Season,https://open.spotify.com/track/6Qb7YsAqH4wWFUMbGsCpap,0.64711622
1987,CROWDED HOUSE,CROWDED HOUSE,Don't Dream It's Over,http://open.spotify.com/track/7G7tgVYORlDuVprcYHuFJh,0.836843617
2018,NIELS DESTADSBADER,NIELS DESTADSBADER,Verover Mij (Live),http://open.spotify.com/track/5mhtUpxhJs4rWhCe2HwgjP,0.235094383
2000,ANOUK,ANOUK,Michel,http://open.spotify.com/track/14ue7xEp7uoJCUfluNlSbp,0.917583415
2021,THE WEEKND,THE WEEKND,Take My Breath,http://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b,0.407261852
2002,P!NK,P!NK,Just Like A Pill,http://open.spotify.com/track/1BpV8IGf4XsRRJf4Xuui9q,0.257358554
2017,AJR,AJR,Weak,http://open.spotify.com/track/5DZwnLxHjWTZaz9jOpRhxb,0.178434147
2020,JAWSH 685 & JASON DERULO,JASON DERULO,Savage Love,http://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,0.282180222
2017,THE CHAINSMOKERS & COLDPLAY,THE CHAINSMOKERS,Something Just Like This,http://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,0.169892112
2010,RIHANNA,RIHANNA,Only Girl (In The World),http://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,0.828791158
1992,ROXETTE,ROXETTE,How Do You Do!,http://open.spotify.com/track/3BK8mbUFbBZ3mI5HE4eqCR,0.465007962
2005,DANIEL POWTER,DANIEL POWTER,Bad Day,http://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK,0.463135328
2009,BEYONCÉ,BEYONCÉ,Single Ladies (Put A Ring On It) ,http://open.spotify.com/track/2ZBNclC5wm4GtiWaeh0DMx,0.683210061
1989,CLOUSEAU,CLOUSEAU,Anne,http://open.spotify.com/track/7jYDoLDENGtkV3JFylSXI9,0.108962564
2024,CLEAN BANDIT & ANNE-MARIE,CLEAN BANDIT,Cry Baby,https://open.spotify.com/track/7oDSG2Q9RBU0QjgtfYQOdD,0.201929063
1987,U2,U2,Where The Streets Have No Name,http://open.spotify.com/track/4qgZs0RNjdzKAS22lP0QjY,0.157189846
2010,SWEDISH HOUSE MAFIA & PHARRELL,SWEDISH HOUSE MAFIA,One (Your Name),http://open.spotify.com/track/6iznpTNBnljkbP0WtAfn50,0.275996052
1988,SOULSISTER,SOULSISTER,The Way To Your Heart,http://open.spotify.com/track/7h7yYTlVSHY3Fk7mSb0cDZ,0.462949468
2023,POMMELIEN THIJS,POMMELIEN THIJS,Erop Of Eronder,http://open.spotify.com/track/66dGbMxzOVbhv2CwnfA3MJ,0.061708663
1994,REDNEX,REDNEX,Cotton Eye Joe,http://open.spotify.com/track/0Jg602cHeMCnPez9baacIe,0.493098853
1967,THE BEATLES,THE BEATLES,Lucy In The Sky With Diamonds,https://open.spotify.com/track/5wLkhxwU7B9DNglfZAIrQ8?si=3cf8bca264424dca,0.082090225
2003,BLACK EYED PEAS and JUSTIN TIMBERLAKE,BLACK EYED PEAS,Where Is The Love?,http://open.spotify.com/track/3CNqo3gYrfexdrtjFmC9he,0.565245244
2012,ALICIA KEYS,ALICIA KEYS,Girl On Fire,http://open.spotify.com/track/4esOae7i4rqTbAu9o5Pxco,0.925886901
1991,THE SCENE,THE SCENE,Iedereen Is Van De Wereld,http://open.spotify.com/track/2YqFLkxAUQZZkeCLm0GPoP,0.056720631
2013,BRUNO MARS,BRUNO MARS,When I Was Your Man,http://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh,0.464116312
2013,ONE DIRECTION,ONE DIRECTION,Best Song Ever,http://open.spotify.com/track/4qrSd9NMui1V19MEnIAhj7,0.913714677
2013,ELLIE GOULDING,ELLIE GOULDING,How Long Will I Love You,http://open.spotify.com/track/0ZPfDxZn5O0L84wvPSN2iG,0.275155863
1990,CLOUSEAU,CLOUSEAU,Domino,http://open.spotify.com/track/6sRzuQrqNyPrbRPo6qeaNJ,0.94161936
2015,THE WEEKND,THE WEEKND,Can't Feel My Face,http://open.spotify.com/track/22VdIZQfgXJea34mQxlt81,0.215439872
2023,BILLY GILLIES & HANNAH BOLEYN,BILLY GILLIES & HANNAH BOLEYN,Dna (Loving You),http://open.spotify.com/track/6ibDVMcMUNqZ5eXT9sD4Vy,0.098238779
1992,NIRVANA,NIRVANA,Lithium,http://open.spotify.com/track/2YodwKJnbPyNKe8XXSE9V7,0.923738469
2007,RIHANNA,RIHANNA,Shut Up And Drive,http://open.spotify.com/track/4Tn2llBm1g0UlWctmgPL8Z,0.648968566
1976,QUEEN,QUEEN,Bohemian Rhapsody,http://open.spotify.com/track/1pwE0jB6MTtTWx8fzqriAj,0.854489582
1999,ENRIQUE IGLESIAS,ENRIQUE IGLESIAS,Bailamos,http://open.spotify.com/track/2bbeNsFmjZqdoDhjLsKNWe,0.8833536
2000,RED HOT CHILI PEPPERS,RED HOT CHILI PEPPERS,Californication,http://open.spotify.com/track/48UPSzbZjgc449aqz8bxox,0.335093005
2018,CALVIN HARRIS & DUA LIPA,CALVIN HARRIS,One Kiss,http://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,0.999772094
2020,JOEL CORRY & MNEK,MNEK,Head & Heart,http://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,0.934197723
2019,ROBIN SCHULZ,ROBIN SCHULZ,Speechless,http://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,0.295842843
2012,OF MONSTERS AND MEN,OF MONSTERS AND MEN,Little Talks,http://open.spotify.com/track/2ihCaVdNZmnHZWt0fvAM7B,0.591511568
1983,THE POLICE,THE POLICE,Every Breath You Take,http://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1,0.175268728
1985,DIRE STRAITS,DIRE STRAITS,Walk Of Life,http://open.spotify.com/track/423o3ZHIaBtGXyhF1uH41a,0.018759808
1976,ABBA,ABBA,Dancing Queen,http://open.spotify.com/track/2rgqPSIRAfaO2MGo9smdSX,0.605236583
1989,GUNS N' ROSES,GUNS N' ROSES,Paradise City,http://open.spotify.com/track/6eN1f9KNmiWEhpE2RhQqB5,0.536331048
2001,WHEATUS,WHEATUS,Teenage Dirtbag,http://open.spotify.com/track/25FTMokYEbEWHEdss5JLZS,0.085301572
1993,R E M,R.E.M.,Everybody Hurts,http://open.spotify.com/track/6PypGyiu0Y2lCDBN1XZEnP,0.865772601
1984,CYNDI LAUPER,CYNDI LAUPER,Girls Just Want To Have Fun,http://open.spotify.com/track/4y1LsJpmMti1PfRQV9AWWe,0.275734503
2024,POMMELIEN THIJS & MEAU,POMMELIEN THIJS,Het Midden,https://open.spotify.com/track/5650jkmPhrqy7sdXQ9O9mL?si=b03250d58d7a4bc7,0.283114844
1984,POINTER SISTERS,POINTER SISTERS,Jump (For My Love),http://open.spotify.com/track/59K6GctkD8lWljFYa8eE6D,0.211792427
2017,ANNE-MARIE,ANNE-MARIE,Ciao Adios,http://open.spotify.com/track/01BC4Xj5tfsfV8DLDrma7q,0.089448217
2020,DUA LIPA & ANGELE,DUA LIPA,Fever,http://open.spotify.com/track/3wJVBz7gvGTwTWVAxFa6ny,0.692061458
1996,FOOL's GARDEN,FOOLS GARDEN,Lemon Tree,http://open.spotify.com/track/4fXGWiVhlOLdhwRDP6pIFG,0.545903352
2011,LMFAO,LMFAO,Party Rock Anthem,http://open.spotify.com/track/0IkKz2J93C94Ei4BvDop7P,0.736995436
2006,KATE RYAN,KATE RYAN,Je T'adore,http://open.spotify.com/track/1YuXoPqkTQOXpFJtjf5GWd,0.203925121
2024,MYLES SMITH,MYLES SMITH,Stargazing,https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10,0.472713476
2018,REGI & JAKE REESE,REGI,Ellie,http://open.spotify.com/track/3vosNWlFmG5vUV8VepHDlc,0.430967326
2011,RIHANNA and CALVIN HARRIS,RIHANNA,We Found Love,http://open.spotify.com/track/6qn9YLKt13AGvpq9jfO8py,0.584104148
1979,DE STRANGERS,DE STRANGERS,Bij De Rijkswacht,https://open.spotify.com/track/2J11B1ExqMjaruLIuMjPvM?si=0d0710f87d304113,0.031853639
1981,JOHN LENNON,JOHN LENNON,Imagine,https://open.spotify.com/track/7pKfPomDEeI4TPT6EOYjn9?si=50747fefde4c4deb,0.431644771
1988,GUNS 'N' ROSES,GUNS N' ROSES,Sweet Child O' Mine,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51,0.464664259
2017,BANNERS,BANNERS,Someone To You,http://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr,0.25732066
1996,DEEP ZONE,DEEP ZONE,It's Gonna Be Alright,http://open.spotify.com/track/5CZ9DnFwB43qVf1tqodHa7,0.917278859
2009,OWL CITY,OWL CITY,Fireflies,http://open.spotify.com/track/3DamFFqW32WihKkTVlwTYQ,0.696872459
2002,SHAKIRA,SHAKIRA,"Whenever, Wherever",http://open.spotify.com/track/2lnzGkdtDj5mtlcOW2yRtG,0.022871521
1987,BON JOVI,BON JOVI,Livin' On A Prayer,http://open.spotify.com/track/37ZJ0p5Jm13JPevGcx4SkF,0.040198872
2007,AVENGED SEVENFOLD,AVENGED SEVENFOLD,Dear God,https://open.spotify.com/track/2FML7gk7ac6quGFIjvkDb3?si=f7faf1576cb048db,0.442913287
1986,LIONEL RICHIE,LIONEL RICHIE,Dancing On The Ceiling,http://open.spotify.com/track/0snPJPxkk0MbTc0xeUvAPt,0.221813463
2021,LIL NAS X,LIL NAS X,That's What I Want,http://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,0.826731935
1979,KISS,KISS,I Was Made For Loving You,http://open.spotify.com/track/1SPtcSGfWDRs9px7uUAvYC,0.976746989
2023,LOREEN,LOREEN,Tattoo,http://open.spotify.com/track/1DmW5Ep6ywYwxc2HMT5BG6,0.000732484
2001,DESTINY'S CHILD,DESTINY'S CHILD,Survivor,http://open.spotify.com/track/2Mpj1Ul5OFPyyP4wB62Rvi,0.713714091
2006,RED HOT CHILI PEPPERS,RED HOT CHILI PEPPERS,Dani California,http://open.spotify.com/track/6vODhpvfWwdsO0i9MBWnEq,0.630909564
2012,TAYLOR SWIFT,TAYLOR SWIFT,I Knew You Were Trouble,https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP,0.681348448
2011,BIRDY,BIRDY,Skinny Love,http://open.spotify.com/track/4RL77hMWUq35NYnPLXBpih,0.21730431
2023,ANNE-MARIE & SHANIA TWAIN,ANNE-MARIE,Unhealthy,http://open.spotify.com/track/2doTn2LWTKN1Z0lZJG2WQw,0.489520485
2002,VANESSA CARLTON,VANESSA CARLTON,A Thousand Miles,http://open.spotify.com/track/4w1lzcaoZ1IC2K5TwjalRP,0.599851214
1984,QUEEN,QUEEN,Radio Ga Ga,http://open.spotify.com/track/1HmzAZUvhQLhLo2z3ocpZI,0.537907292
1985,TEARS FOR TEARS,TEARS FOR TEARS,Everybody Wants To Rule The World,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE?si=fe01d3983aee4ded,0.508552268
2003,BEYONCE & JAY-Z,BEYONCÉ,Crazy In Love,http://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr,0.442370987
2003,TIESTO,TIËSTO,Traffic,https://open.spotify.com/track/6pqFWRuybCtxerWC7B4RgF,0.680970689
2015,LOST FREQUENCIES & JANIECK,LOST FREQUENCIES,Reality,http://open.spotify.com/track/6rHROoXjEfuxYVw1nd7plQ,0.798319355
2024,JOOST,JOOST,Europapa,http://open.spotify.com/track/0uHrMbMv3c78398pIANDqR,0.507551883
2011,BRUNO MARS,BRUNO MARS,Marry You,http://open.spotify.com/track/22PMfvdz35fFKYnJyMn077,0.469706313
2002,THE WHITE STRIPES,THE WHITE STRIPES,Seven Nation Army,http://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,0.356480382
2007,MEGA MINDY,MEGA MINDY,Ik ben Mega Mindy,https://open.spotify.com/track/5M8jyKEdA2Uox93VcgOvjV?si=ec5fcce98c4d415d,0.550464289
1979,ABBA,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),http://open.spotify.com/track/3vkQ5DAB1qQMYO4Mr9zJN6,0.709392368
1989,GORKI,GORKI,Mia,http://open.spotify.com/track/1AvAl5fj5mhoLHVo0to1xr,0.709620672
1983,MICHAEL SEMBELLO,MICHAEL SEMBELLO,Maniac,http://open.spotify.com/track/0QKfiqpEU4h9ycPSzIFwYe,0.402599683
2014,LILLY WOOD & THE PRICK,LILLY WOOD & THE PRICK,Prayer In C (Robin Schulz Remix),http://open.spotify.com/track/5fnA9mkIfScSqHIpeDyvck,0.827485255
1999,BRYAN ADAMS & MELANIE C,BRYAN ADAMS,When You're Gone,http://open.spotify.com/track/1yzTciNQQrW0YcmralY2HQ,0.250670212
1990,SINEAD O'CONNOR,SINEAD O'CONNOR,Nothing Compares 2 U,http://open.spotify.com/track/3nvuPQTw2zuFAVuLsC9IYQ,0.522066606
2024,LOST FREQUENCIES & TOM ODELL,LOST FREQUENCIES,Black Friday (Pretty Like The Sun),http://open.spotify.com/track/4MSj19TwYBLgDFj3ddEeco,0.258886931
2018,SHEPPARD,SHEPPARD,Coming Home,https://open.spotify.com/track/5k7YfP15y4qC9xBNkq56Ae?si=bff164ea8d1b4d20,0.087367128
2006,BELLE PEREZ,BELLE PEREZ,El Mundo Bailando,https://open.spotify.com/track/2ZeMMu0zwUoNOuc0SxWaer?si=cd26a5a23fa3473a,0.684765693
2023,PURPLE DISCO MACHINE & KUNGS,PURPLE DISCO MACHINE,Substitution,https://open.spotify.com/track/2F2p7b5Xq20mRyEeWYaeUF,0.242630121
1978,QUEEN,QUEEN,Don't Stop Me Now,http://open.spotify.com/track/7hQJA50XrCWABAu5v6QZ4i,0.00879597
1999,VENGABOYS,VENGABOYS,We're Going To Ibiza,https://open.spotify.com/track/6trzHhvr6xqYJkNnbWwXz2,0.048198833
2023,TAYLOR SWIFT,TAYLOR SWIFT,Cruel Summer,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr?si=ff7c0899372d4e22,0.978521373
2023,CALVIN HARRIS & ELLIE GOULDING,CALVIN HARRIS,Miracle,https://open.spotify.com/track/5eTaQYBE1yrActixMAeLcZ,0.050386162
1998,ANOUK,ANOUK,Nobody's Wife,http://open.spotify.com/track/2WtRXmHGWV5o90u1GzmtSw,0.750023262
2020,"REGI, JAKE REESE & OT",REGI,Kom Wat Dichterbij,http://open.spotify.com/track/50yrurPW478BbrCjRHSein,0.14911195
2014,GEORGE EZRA,GEORGE EZRA,Budapest,https://open.spotify.com/track/2ixsaeFioXJmMgkkbd4uj1?si=3f13cab63da0488c,0.699508233
1974,ABBA,ABBA,Waterloo,http://open.spotify.com/track/3Dy4REq8O09IlgiwuHQ3sk,0.636618553
2006,SNOW PATROL,SNOW PATROL,Chasing Cars,http://open.spotify.com/track/11bD1JtSjlIgKgZG2134DZ,0.382853453
2003,AVRIL LAVIGNE,AVRIL LAVIGNE,Sk8er Boi,http://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU,0.581809843
1994,MARIAH CAREY,MARIAH CAREY,All I Want For Christmas Is You,http://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,0.384381382
2020,DUA LIPA,DUA LIPA,Physical,http://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW,0.863322183
2008,LAURENT WOLF,LAURENT WOLF,No Stress,http://open.spotify.com/track/2c0hefpquCG3NEYJzzV9fn,0.332218229
1999,NEW RADICALS,NEW RADICALS,You Get What You Give,http://open.spotify.com/track/1Cwsd5xI8CajJz795oy4XF,0.055360165
1968,BEATLES,BEATLES,Hey Jude,https://open.spotify.com/track/1eT2CjXwFXNx6oY5ydvzKU,0.049954156
1985,MADONNA,MADONNA,Into The Groove,http://open.spotify.com/track/2m0M7YqCy4lXfedh18qd8N,0.949435481
2015,"RIHANNA, KANYE WEST & PAUL MCCARTNEY",RIHANNA,Fourfiveseconds,https://open.spotify.com/track/78TTtXnFQPzwqlbtbwqN0y?si=ac43ac39820b4e8b,0.362961139
2011,CHRISTINA PERRI,CHRISTINA PERRI,a thousand years,https://open.spotify.com/track/6z5Yh7kOKeLjqIsNdokIpU?si=67c86b5532b24dd6,0.68134292
2020,JAAP REESEMA & POMMELIEN THIJS,JAAP REESEMA,Nu Wij Niet Meer Praten,https://open.spotify.com/track/7BH2Y5WMiOOvEG60WOhoWE,0.276399645
1985,POINTER SISTERS,POINTER SISTERS,I'm So Excited,http://open.spotify.com/track/1ot6jEe4w4hYnsOPjd3xKQ,0.872695436
1984,BRYAN ADAMS,BRYAN ADAMS,Summer Of '69,http://open.spotify.com/track/6oWpGuwokWJ4EcWgVQPdUt,0.200943572
1998,MADONNA,MADONNA,Ray Of Light,http://open.spotify.com/track/0vVchT7htyhheP8anAnLMR,0.178111152
2017,AVICII & SANDRO CAVAZZA,AVICII,Without You,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE,0.513525439
2020,SHAWN MENDES,SHAWN MENDES,Wonder,http://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb,0.180248561
1965,BEATLES,BEATLES,Yesterday,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI?si=b5ea7e7b366b4f3c,0.51519906
2007,THE FRAY,THE FRAY,How To Save A Life,http://open.spotify.com/track/5fVZC9GiM4e8vu99W0Xf6J,0.229450638
1991,R E M,R.E.M.,Losing My Religion,http://open.spotify.com/track/31AOj9sFz2gM0O3hMARRBx,0.933791779
1987,SCORPIONS,SCORPIONS,Still Loving You,http://open.spotify.com/track/0RdUX4WE0fO30VnlUbDVL6,0.324552888
1999,THE OFFSPRING,THE OFFSPRING,Pretty Fly (For A White Guy),http://open.spotify.com/track/3SFXsFpeGmBTtQvKiwYMDA,0.229062625
2017,AXWELL & INGROSSO,AXWELL & INGROSSO,More Than You Know,http://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP,0.415431079
1998,TARKAN,TARKAN,Simarik,https://open.spotify.com/track/6vEL7E8TGzrxuxbrgdlkLL,0.648376201
